iShares Russell 1000 ETF
Fund Holdings as of,"Apr 30, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"117,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","3,274,506,242.56","7.09","3,274,506,242.56","16,407,808.00","199.57","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","2,740,593,483.45","5.94","2,740,593,483.45","10,099,847.00","271.35","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","2,120,202,768.62","4.59","2,120,202,768.62","5,199,379.00","407.78","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1,782,535,126.50","3.86","1,782,535,126.50","6,725,025.00","265.06","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1,568,118,104.80","3.40","1,568,118,104.80","4,075,151.00","384.80","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","1,351,524,381.61","2.93","1,351,524,381.61","3,237,727.00","417.43","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","1,267,339,558.16","2.74","1,267,339,558.16","3,318,164.00","381.94","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","936,646,353.63","2.03","936,646,353.63","1,530,693.00","611.91","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","754,918,331.46","1.64","754,918,331.46","1,978,142.00","381.63","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","612,385,638.40","1.33","612,385,638.40","1,293,044.00","473.60","United States","NYSE","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","596,543,715.93","1.29","596,543,715.93","1,904,491.00","313.23","United States","NYSE","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","524,909,678.60","1.14","524,909,678.60","561,641.00","934.60","United States","NYSE","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","457,098,452.25","0.99","457,098,452.25","2,961,825.00","154.33","United States","NYSE","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","405,101,254.04","0.88","405,101,254.04","783,319.00","517.16","United States","NASDAQ","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","402,401,803.88","0.87","402,401,803.88","3,050,116.00","131.93","United States","NASDAQ","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","399,995,172.32","0.87","399,995,172.32","1,128,368.00","354.49","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","389,252,759.84","0.84","389,252,759.84","1,180,126.00","329.84","United States","NYSE","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","387,770,051.45","0.84","387,770,051.45","1,687,057.00","229.85","United States","NYSE","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","315,705,503.52","0.68","315,705,503.52","311,184.00","1,014.53","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","292,332,646.56","0.63","292,332,646.56","3,094,122.00","94.48","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","288,756,134.55","0.63","288,756,134.55","324,405.00","890.11","United States","NYSE","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","283,665,990.96","0.61","283,665,990.96","564,038.00","502.92","United States","NYSE","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","278,128,602.62","0.60","278,128,602.62","2,971,142.00","93.61","United States","NASDAQ","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","262,511,002.08","0.57","262,511,002.08","1,242,244.00","211.32","United States","NYSE","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","255,170,533.50","0.55","255,170,533.50","2,788,749.00","91.50","United States","NASDAQ","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","253,933,562.48","0.55","253,933,562.48","1,313,608.00","193.31","United States","NYSE","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","246,145,824.54","0.53","246,145,824.54","4,604,299.00","53.46","United States","NYSE","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","242,299,297.74","0.52","242,299,297.74","1,647,286.00","147.09","United States","NYSE","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","236,287,327.76","0.51","236,287,327.76","637,787.00","370.48","United States","NYSE","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","229,505,359.20","0.50","229,505,359.20","698,009.00","328.80","United States","NYSE","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","226,898,491.94","0.49","226,898,491.94","879,929.00","257.86","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","219,388,118.19","0.48","219,388,118.19","556,131.00","394.49","United States","NASDAQ","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","214,607,847.08","0.46","214,607,847.08","2,724,833.00","78.76","United States","NYSE","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","212,912,028.30","0.46","212,912,028.30","1,530,530.00","139.11","United States","NASDAQ","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","211,305,912.81","0.46","211,305,912.81","728,817.00","289.93","United States","NYSE","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","205,049,138.84","0.44","205,049,138.84","189,254.00","1,083.46","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","190,418,735.13","0.41","190,418,735.13","1,179,867.00","161.39","United States","NYSE","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","190,278,144.60","0.41","190,278,144.60","205,980.00","923.77","United States","NYSE","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","190,222,239.58","0.41","190,222,239.58","1,742,281.00","109.18","United States","NYSE","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","180,295,066.38","0.39","180,295,066.38","1,092,234.00","165.07","United States","NYSE","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","178,943,117.16","0.39","178,943,117.16","636,627.00","281.08","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","178,532,595.51","0.39","178,532,595.51","2,171,137.00","82.23","United States","NYSE","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","165,095,732.97","0.36","165,095,732.97","937,671.00","176.07","United States","NYSE","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","164,935,196.80","0.36","164,935,196.80","329,120.00","501.14","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","161,487,291.00","0.35","161,487,291.00","92,260.00","1,750.35","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","155,508,114.06","0.34","155,508,114.06","1,215,097.00","127.98","United States","NYSE","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","152,254,686.42","0.33","152,254,686.42","960,658.00","158.49","United States","NASDAQ","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","151,588,043.58","0.33","151,588,043.58","795,362.00","190.59","United States","NYSE","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","150,665,482.24","0.33","150,665,482.24","652,288.00","230.98","United States","NYSE","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","147,108,847.71","0.32","147,108,847.71","501,069.00","293.59","United States","NYSE","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","143,185,617.72","0.31","143,185,617.72","1,462,869.00","97.88","United States","NYSE","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","142,112,028.54","0.31","142,112,028.54","2,958,818.00","48.03","United States","NYSE","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","137,886,682.80","0.30","137,886,682.80","342,780.00","402.26","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","134,741,208.54","0.29","134,741,208.54","750,313.00","179.58","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","130,607,577.50","0.28","130,607,577.50","377,206.00","346.25","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","129,243,865.00","0.28","129,243,865.00","1,245,724.00","103.75","United States","NYSE","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","126,862,614.16","0.27","126,862,614.16","264,871.00","478.96","United States","NYSE","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","126,650,097.99","0.27","126,650,097.99","4,846,923.00","26.13","United States","NYSE","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","125,830,727.94","0.27","125,830,727.94","854,422.00","147.27","United States","NYSE","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","124,962,593.40","0.27","124,962,593.40","723,540.00","172.71","United States","NYSE","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","122,872,406.25","0.27","122,872,406.25","783,875.00","156.75","United States","NYSE","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","122,142,297.55","0.26","122,142,297.55","378,091.00","323.05","United States","NYSE","USD","1.00","USD","-"
