iShares Russell 1000 ETF
Fund Holdings as of,"May 14, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"117,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","3,879,493,264.14","8.08","3,879,493,264.14","16,456,661.00","235.74","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","3,020,843,144.99","6.29","3,020,843,144.99","10,129,919.00","298.21","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","2,135,121,358.09","4.44","2,135,121,358.09","5,214,863.00","409.43","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","1,802,410,924.90","3.75","1,802,410,924.90","6,745,045.00","267.22","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1,639,286,191.74","3.41","1,639,286,191.74","4,087,282.00","401.07","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","1,428,159,093.14","2.97","1,428,159,093.14","3,247,366.00","439.79","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","1,321,798,043.97","2.75","1,321,798,043.97","3,328,041.00","397.17","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","949,444,657.50","1.98","949,444,657.50","1,535,250.00","618.43","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","879,520,055.70","1.83","879,520,055.70","1,984,029.00","443.30","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","627,774,509.64","1.31","627,774,509.64","1,296,894.00","484.06","United States","NYSE","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","609,672,256.50","1.27","609,672,256.50","785,650.00","776.01","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","572,876,385.51","1.19","572,876,385.51","1,910,161.00","299.91","United States","NYSE","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","567,088,203.80","1.18","567,088,203.80","563,314.00","1,006.70","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","508,938,081.60","1.06","508,938,081.60","1,131,728.00","449.70","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","453,855,143.10","0.94","453,855,143.10","2,970,645.00","152.78","United States","NYSE","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","405,220,969.70","0.84","405,220,969.70","3,059,195.00","132.46","United States","NASDAQ","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","390,532,756.40","0.81","390,532,756.40","1,692,083.00","230.80","United States","NYSE","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","381,747,572.80","0.79","381,747,572.80","1,183,640.00","322.52","United States","NYSE","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","359,769,510.62","0.75","359,769,510.62","3,103,334.00","115.93","United States","NASDAQ","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","324,982,455.00","0.68","324,982,455.00","312,108.00","1,041.25","United States","NASDAQ","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","323,143,302.03","0.67","323,143,302.03","2,797,051.00","115.53","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","299,412,901.62","0.62","299,412,901.62","325,371.00","920.22","United States","NYSE","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","277,167,876.92","0.58","277,167,876.92","565,718.00","489.94","United States","NYSE","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","264,013,935.05","0.55","264,013,935.05","882,547.00","299.15","United States","NASDAQ","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","262,606,773.80","0.55","262,606,773.80","1,245,940.00","210.77","United States","NYSE","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","259,080,330.60","0.54","259,080,330.60","2,979,990.00","86.94","United States","NASDAQ","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","255,291,487.56","0.53","255,291,487.56","639,684.00","399.09","United States","NYSE","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","245,902,119.44","0.51","245,902,119.44","1,317,521.00","186.64","United States","NYSE","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","245,739,962.40","0.51","245,739,962.40","557,790.00","440.56","United States","NASDAQ","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","235,784,463.03","0.49","235,784,463.03","1,652,193.00","142.71","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","231,481,157.41","0.48","231,481,157.41","1,183,381.00","195.61","United States","NYSE","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","230,207,549.25","0.48","230,207,549.25","4,618,005.00","49.85","United States","NYSE","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","219,865,505.70","0.46","219,865,505.70","2,732,946.00","80.45","United States","NYSE","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","213,111,949.98","0.44","213,111,949.98","730,987.00","291.54","United States","NYSE","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","213,071,782.80","0.44","213,071,782.80","700,088.00","304.35","United States","NYSE","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","210,180,519.54","0.44","210,180,519.54","1,095,489.00","191.86","United States","NYSE","USD","1.00","USD","-"
